po_number,deal_id_x,order_created,total_deal_quantity,amount_in_company_currency,client_type_x,deal_type_x,special_order_type,deal_stage,automation_tools,revisions,deal_source_ca,number_of_associated_contacts,design_difficulty,SKU,chassis,total_intl_product_quantity,mfp_product_info,vendor_id,est_ship_date,submitted_to_prod,client_type_y,deal_type_y,deal_id_y,Total SKU DZ on PO,intl_unit_cost,fixed_intl_pkg_cost,total_intl_unit_cost_dont_use,total_intl_sku_cost,cost_per_sku,total_sku_cost
23718,7421570726,1/5/2022,240,0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,,10.0269645v1,10,0,2,1,,1/6/2022,,,,20,,,0,0,1.96,0
23719,7430328912,1/6/2022,360,0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Client Referral,5,,10.0259238v1,10,0,2,1,,1/12/2022,,,,30,,,0,0,1.96,0
23721,5813941811,7/30/2021,150,0,Distributor,New Business,,Closed and Won,,,Pre-Hubspot Contact,4,High Res Preview,10.0244479v1,10,0,2,1,,1/7/2022,,,,13,,,0,0,1.96,0
23722,7380636528,12/31/2021,240,0,Distributor,Existing Business,,Closed and Won,,,,1,,13.0561511v3,13,0,5,3,,1/6/2022,,,,20,,,0,0,1.45,0
23723,7432264098,1/6/2022,60,0,Direct,Existing Business,,Closed and Won,Reorder Button,,,1,,10.0221637v6,10,0,2,4,,1/6/2022,,,,5,,,0,0,2.58,0
23724,7432425100,1/6/2022,660,0,Distributor,Existing Business,,Closed and Won,,,,1,,15.0264150v1,15,0,7,3,,1/6/2022,,,,55,,,0,0,3.28,0
23725,7425736006,1/5/2022,120,0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,Not Rated,10.0270549v2,10,0,2,1,,1/11/2022,,,,10,,,0,0,2.23,0
23726,7373741462,12/30/2021,2634,0,Distributor,Existing Business,,Closed and Won,,,Client Referral,4,Not Rated,10.0270171v1,10,0,2,3,,1/6/2022,,,,220,,,0,0,1.62,0
23727,7425935236,1/5/2022,60,0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low ,10.0270595v1,10,0,2,3,,1/6/2022,,,,5,,,0,0,3.66,0
23728,6848430745,11/5/2021,60,0,Distributor,Existing Business,,Closed and Won,New Project In Portal,,Client Referral,1,Low ,10.0261802v4,10,0,2,3,,1/6/2022,,,,5,,,0,0,3.66,0
23729,7429743287,1/6/2022,120,0,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,,40.0229308v3,40,0,18,1,,1/12/2022,,,,10,,,0,0,2.23,0
23731,7434130089,1/6/2022,120,0,Distributor,Existing Business,,Closed and Won,Reorder Button,,,2,,10.0252565v1,10,0,2,3,,1/6/2022,,,,10,,,0,0,2.58,0
23732,7426045699,1/5/2022,75,0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Not Rated,10.0270536v1,10,0,2,3,,1/6/2022,,,,7,,,0,0,3.66,0
23733,7409457047,1/4/2022,475,0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,Low ,10.0270230v1,10,0,2,3,,1/7/2022,,,,40,,,0,0,2.41,0
23734,7432984216,1/6/2022,120,0,Distributor,Existing Business,,Closed and Won,,,,2,,10.0237248v1,10,0,2,4,,1/6/2022,,,,10,,,0,0,2.58,0
23735,7431531135,1/6/2022,200,0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,Not Rated,10.0250181v1,10,0,2,3,,1/7/2022,,,,17,,,0,0,2.41,0
23736,7415521413,1/4/2022,150,0,Direct,Existing Business,,Closed and Won,Reorder Button,,,1,,10.0239694v2,10,0,2,4,,1/6/2022,,,,13,,,0,0,2.41,0
23737,7190019651,12/7/2021,500,0,Distributor,Existing Business,,Closed and Won,,,Client Referral,4,High Res Preview,10.0267813v1,10,0,2,3,,1/8/2022,,,,42,,,0,0,2.41,0
23738,7327524622,12/23/2021,75,0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Not Rated,10.0269575v1,10,0,2,1,,1/6/2022,,,,7,,,0,0,2.56,0
23739,7436540755,1/6/2022,360,0,Direct,Existing Business,,Closed and Won,Reorder Button,,,1,,10.0243024v12,10,0,2,4,,1/7/2022,,,,30,,,0,0,2.58,0
23740,7359629577,12/28/2021,480,0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Not Rated,10.0270109v3,10,0,2,1,,1/6/2022,,,,40,,,0,0,1.96,0
23741,7325884077,12/23/2021,120,0,Wholesale,Existing Business,,Closed and Won,,,,1,Not Rated,40.0270159v2,40,0,18,3,,1/6/2022,,,,10,,,0,0,2.66,0
23742,7437127295,1/6/2022,120,0,Direct,Existing Business,,Closed and Won,Reorder Button,,,1,,10.0225128v13,10,0,2,3,,1/7/2022,,,,10,,,0,0,2.58,0
23743,7436591286,1/6/2022,280,0,Distributor,Existing Business,,Closed and Won,,,Client Referral,1,Not Rated,10.0270665v1,10,0,2,1,,1/7/2022,,,,24,,,0,0,1.96,0
23744,7434579565,1/6/2022,112,0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,,10.0258442v1,10,0,2,4,,1/12/2022,,,,10,,,0,0,2.58,0
23745,7398667940,1/2/2022,610,0,Distributor,Existing Business,,Closed and Won,,,Client Referral,4,Low ,10.0270111v1,10,0,2,1,,1/7/2022,,,,51,,,0,0,1.88,0
23746,7432104998,1/6/2022,425,0,Distributor,Existing Business,,Closed and Won,,,Client Referral,4,Not Rated,10.0270594v1,10,0,2,3,,1/7/2022,,,,36,,,0,0,2.41,0
23747,6937780813,11/16/2021,1400,0,Direct,New Business,,Closed and Won,Intake 2.0 Edward,,,2,High Res Preview,10.0268243v1,10,0,2,1,,1/7/2022,,,,117,,,0,0,1.96,0
23749,7348274342,12/27/2021,120,0,Direct,New Business,,Closed and Won,Intake 2.0 Edward,,,2,High Res Preview,40.0269653v2,40,0,18,4,,1/7/2022,,,,10,,,0,0,2.75,0
23750,6683509382,10/18/2021,750,0,Distributor,Existing Business,,Closed and Won,,,,1,Not Rated,10.0270274v1,10,0,2,1,,1/7/2022,,,,63,,,0,0,1.79,0
23751,7443876486,1/7/2022,120,0,Distributor,Existing Business,,Closed and Won,,,,2,,10.0228320v2,10,0,2,3,,1/7/2022,,,,10,,,0,0,2.58,0
23753,7278320659,12/17/2021,250,0,Direct,Existing Business,,Closed and Won,Intake 2.0 Edward,,,1,High Res Preview,10.0270739v1,10,0,2,4,,1/7/2022,,,,21,,,0,0,2.41,0
23754,7425981597,1/5/2022,200,0,Distributor,New Business,,Closed and Won,,,,2,Low ,15.0270740v2,15,0,7,3,,1/7/2022,,,,17,,,0,0,3.53,0
23755,7247317797,12/14/2021,120,0,Distributor,Existing Business,,Closed and Won,,,,3,Not Rated,10.0269886v3,10,0,2,1,,1/7/2022,,,,10,,,0,0,2.23,0
23756,7445272698,1/7/2022,300,0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Client Referral,3,,10.0231293v1,10,0,2,3,,1/10/2022,,,,25,,,0,0,2.41,0
23757,7436843952,1/6/2022,250,0,Distributor,Existing Business,,Closed and Won,,,,1,Not Rated,10.0270690v1,10,0,2,3,,1/10/2022,,,,21,,,0,0,2.41,0
23758,7318704915,12/22/2021,400,0,Distributor,New Business,,Closed and Won,,,,1,Low ,17.0270636v1,17,0,9,3,,1/7/2022,,,,36,,,0,0,3.58,0
23759,7445371707,1/7/2022,60,0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,,10.0355894v1,10,0,2,3,,1/10/2022,,,,5,,,0,0,3.66,0
23760,7444341684,1/7/2022,550,0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,1,,10.0322216v2,10,0,2,3,,1/7/2022,,,,46,,,0,0,2.16,0
23761,7431009609,1/6/2022,360,0,Direct,Existing Business,,Closed and Won,Reorder Button,,Direct Traffic,1,,10.0240986v1,10,0,2,3,,1/7/2022,,,,30,,,0,0,2.41,0
23763,7284387183,12/18/2021,60,0,Distributor,New Business,,Closed and Won,Intake 2.0 Edward,,,1,Low ,10.0269559v2,10,0,2,3,,1/8/2022,,,,5,,,0,0,3.66,0
23764,7445157752,1/7/2022,585,0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,,10.0245939v2,10,0,2,3,,1/8/2022,,,,49,,,0,0,2.16,0
23765,7442595402,1/7/2022,60,0,Distributor,Existing Business,,Closed and Won,,,,2,Not Rated,10.0270817v1,10,0,2,3,,1/10/2022,,,,5,,,0,0,3.66,0
23766,7401876035,1/3/2022,250,0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,High Res Preview,10.0270060v1,10,0,2,3,,1/10/2022,,,,22,,,0,0,2.41,0
