po_number,deal_id_x,order_created,total_deal_quantity,amount_in_company_currency,client_type_x,deal_type_x,special_order_type,deal_stage,automation_tools,revisions,deal_source_ca,number_of_associated_contacts,design_difficulty,SKU,chassis,total_intl_product_quantity,mfp_product_info,vendor_id,est_ship_date,submitted_to_prod,client_type_y,deal_type_y,deal_id_y,Total SKU DZ on PO,intl_unit_cost,fixed_intl_pkg_cost,dont_use_total_intl_unit_cost,total_intl_sku_cost,cost_per_sku,total_sku_cost,gross_margin,month,year
37601,13979605600,7/5/2023,1200.0,7464.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Direct Traffic,1,,10.02155248v4,10.0,0.0,2.0,1.0,,2023-07-06,,,,100.0,,,0.0,0.0,1.71,2072.52,0.7223311897106108,7,2023
37602,13536149616,6/1/2023,250.0,2015.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Organic Search,2,,10.02173682v1,10.0,0.0,2.0,3.0,,2023-07-05,,,,21.0,,,0.0,0.0,2.54,670.56,0.6672158808933003,7,2023
37603,13911483576,6/29/2023,400.0,0.0,Distributor,Existing Business,,Payment Pending,,,,1,High Res Preview,10.02173564v1,10.0,0.0,2.0,1.0,,2023-07-05,,,,34.0,,,0.0,0.0,1.96,823.2,0.0,7,2023
37604,13902364588,6/28/2023,225.0,3025.05,Direct,Existing Business,,Closed and Won,Intake 4.0 Logged In,,Organic Search,1,Low ,10.02173512v1,10.0,0.0,2.0,3.0,,2023-07-05,,,,19.0,,,0.0,0.0,2.54,609.6,0.7984826697079388,7,2023
37605,13979836418,7/5/2023,120.0,1520.4,Direct,Existing Business,,Closed and Won,Portal Order,,Pre-Hubspot Contact,1,,10.02166024v1,10.0,0.0,2.0,1.0,,2023-07-05,,,,10.0,,,0.0,0.0,2.23,294.36,0.8063930544593527,7,2023
37606,13980356115,7/5/2023,0.0,1333.5,Distributor,Existing Business,,Closed and Won,,,Event in the Past Year,1,,932148045v6,93.0,175.0,120.0,10.0,45135.0,2023-07-05,Distributor,existingbusiness,13980356115.0,15.0,1.8,0.0,345.6,315.0,,315.0,0.7637795275590551,7,2023
37607,13523586626,5/31/2023,155.0,860.25,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,Low ,12.02168272v1,12.0,0.0,4.0,1.0,,2023-07-06,,,,13.0,,,0.0,0.0,1.63,273.84,0.6816739319965127,7,2023
37608,13980644521,7/5/2023,120.0,960.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,,10.02127523v2,10.0,0.0,2.0,4.0,,2023-07-05,,,,10.0,,,0.0,0.0,2.71,357.72,0.627375,7,2023
37609,13980381203,7/5/2023,60.0,787.4,Direct,Existing Business,,Closed and Won,,,Direct Traffic,1,,10.02171161v4,10.0,0.0,2.0,1.0,,2023-07-05,,,,5.0,,,0.0,0.0,2.56,184.32,0.7659131318262635,7,2023
37610,13804390305,6/21/2023,1000.0,6460.0,Distributor,Existing Business,,Closed and Won,,,Email Marketing,3,Low ,10.02174030v1,10.0,0.0,2.0,3.0,,2023-07-10,,,,84.0,,,0.0,0.0,2.01,2050.2,0.6826315789473685,7,2023
37611,13979687083,7/5/2023,155.0,1240.0,Distributor,Existing Business,,Closed and Won,,,Event in the Past Year,2,,10.02172768v2,10.0,0.0,2.0,1.0,,2023-07-05,,,,13.0,,,0.0,0.0,1.96,329.28,0.7344516129032258,7,2023
37612,13884767416,6/27/2023,240.0,2750.4,Direct,New Business,,Closed and Won,,,Organic Search,2,Low ,10.02173128v2,10.0,0.0,2.0,1.0,,2023-07-05,,,,20.0,,,0.0,0.0,1.96,493.92,0.8204188481675393,7,2023
37613,13981881164,7/5/2023,100.0,1479.0,Distributor,Existing Business,,Payment Pending,Portal Order,,Client Referral,2,,10.02166155v1,10.0,0.0,2.0,3.0,,2023-07-05,,,,10.0,,,0.0,0.0,3.18,457.92,0.6903853955375253,7,2023
